POKEMON,DEX,TYPE 1,TYPE 2,TIER,RARITY,SRL,TAG,ITEM,ABILITY,EV SPREAD,NATURE,IV SPREAD,MOVE 1,MOVE 2,MOVE 3,MOVE 4,GENERATED (D),GENERATED (N),GENERATED (R),PICKED (D),PICKED (N),BANNED
Granbull,210,Fairy,,PU,COMMON,6,,Leftovers,Intimidate,252 HP / 4 Atk / 252 Def,Impish,,Play Rough,Earthquake,Protect,Thunder Wave,0,0,0,0,0,0
Granbull,210,Fairy,,PU,COMMON,6,,Fairium Z,Intimidate,252 Atk / 4 SpD / 252 Spe,Adamant,,Close Combat,Bulk Up,Fire Punch,Play Rough,0,0,0,0,0,0
Granbull,210,Fairy,,PU,COMMON,6,,Leftovers,Intimidate,168 HP / 168 Atk / 172 SpD,Careful,,Toxic,Protect,Play Rough,Earthquake,0,0,0,0,0,0
Granbull,210,Fairy,,PU,COMMON,6,,Leftovers,Intimidate,168 HP / 172 Def / 168 Spe,Impish,,Taunt,Heal Bell,Super Fang,Toxic,0,0,0,0,0,0
Qwilfish,211,Water,Poison,PU,COMMON,9,,Focus Sash,Intimidate,252 HP / 4 Atk / 252 Spe,Jolly,,Destiny Bond,Spikes,Taunt,Waterfall,0,0,0,0,0,0
Qwilfish,211,Water,Poison,PU,COMMON,9,,Life Orb,Swift Swim,252 Atk / 4 SpD / 252 Spe,Jolly,,Swords Dance,Destiny Bond,Liquidation,Poison Jab,0,0,0,0,0,0
Qwilfish,211,Water,Poison,PU,COMMON,9,,Focus Sash,Intimidate,252 Atk / 4 Def / 252 Spe,Timid,0 Atk,Spikes,Thunder Wave,Destiny Bond,Scald,0,0,0,0,0,0
Qwilfish,211,Water,Poison,PU,COMMON,9,,Focus Sash,Intimidate,252 SpA / 4 SpD / 252 Spe,Jolly,,Toxic Spikes,Destiny Bond,Taunt,Liquidation,0,0,0,0,0,0
Qwilfish,211,Water,Poison,PU,COMMON,9,,Leftovers,Intimidate,252 HP / 4 Def / 252 Spe,Timid,0 Atk,Protect,Substitute,Toxic,Destiny Bond,0,0,0,0,0,0
Qwilfish,211,Water,Poison,PU,COMMON,9,RAIN,Damp Rock,Swift Swim,252 Atk / 4 Def / 252 Spe,Adamant,,Rain Dance,Destiny Bond,Liquidation,Poison Jab,0,0,0,0,0,0
Scizor,212,Bug,Steel,OU,ULTRA-RARE,5,,Scizorite,Technician,168 HP / 168 Def / 172 SpD,Careful,,Swords Dance,Roost,Bullet Punch,Superpower,0,0,0,0,0,0
Scizor,212,Bug,Steel,OU,ULTRA-RARE,5,,Scizorite,Swarm,252 Atk / 4 SpD / 252 Spe,Adamant,,Swords Dance,Bullet Punch,Bug Bite,Superpower,0,0,0,0,0,0
Scizor,212,Bug,Steel,OU,ULTRA-RARE,0,,Choice Band,Technician,252 Atk / 4 SpD / 252 Spe,Adamant,,Superpower,Pursuit,U-turn,Bullet Punch,0,0,0,0,0,0
Scizor,212,Bug,Steel,OU,ULTRA-RARE,0,,Leftovers,Technician,252 HP / 4 Atk / 252 Def,Impish,,Knock Off,U-turn,Bullet Punch,Roost,0,0,0,0,0,0
Scizor,212,Bug,Steel,OU,ULTRA-RARE,5,,Scizorite,Technician,252 HP / 4 Def / 252 SpD,Careful,,Bullet Punch,Defog,U-turn,Roost,0,0,0,0,0,0
Scizor,212,Bug,Steel,OU,ULTRA-RARE,5,UBER,Scizorite,Technician,252 HP / 4 Def / 252 SpD,Sassy,,Toxic,Bullet Punch,Roost,U-turn,0,0,0,0,0,0
Shuckle,213,Bug,Rock,PU,COMMON,12,,Leftovers,Sturdy,252 HP / 4 Def / 252 SpD,Calm,0 Atk,Stealth Rock,Toxic,Infestation,Protect,0,0,0,0,0,0
Shuckle,213,Bug,Rock,PU,COMMON,12,,Leftovers,Contrary,252 HP / 252 Def / 4 SpD,Sassy,0 Atk / 0 Spe,Shell Smash,Toxic,Infestation,Rest,0,0,0,0,0,0
Shuckle,213,Bug,Rock,PU,COMMON,12,,Binding Band,Sturdy,252 HP / 4 Def / 252 SpD,Careful,0 Spe,Power Split,Encore,Gastro Acid,Sand Tomb,0,0,0,0,0,0
Shuckle,213,Bug,Rock,PU,COMMON,12,,Leftovers,Sturdy,252 HP / 252 Def / 4 SpD,Impish,,Sticky Web,Knock Off,Encore,Stealth Rock,0,0,0,0,0,0
Shuckle,213,Bug,Rock,PU,COMMON,12,SUN,Heat Rock,Sturdy,252 HP / 252 Def / 4 SpD,Impish,,Knock Off,Stealth Rock,Sunny Day,Sticky Web,0,0,0,0,0,0
Shuckle,213,Bug,Rock,PU,COMMON,12,UBER,Mental Herb,Sturdy,252 HP / 4 Def / 252 SpD,Calm,0 Atk,Sticky Web,Encore,Stealth Rock,Toxic,0,0,0,0,0,0
Heracross,214,Bug,Fighting,UU,RARE,0,,Life Orb,Guts,252 Atk / 4 Def / 252 Spe,Jolly,,Stone Edge,Megahorn,Swords Dance,Close Combat,0,0,0,0,0,0
Heracross,214,Bug,Fighting,OU,ULTRA-RARE,1,,Heracronite,Moxie,168 HP / 172 Atk / 168 Spe,Adamant,,Pin Missile,Rock Blast,Bullet Seed,Close Combat,0,0,0,0,0,0
Heracross,214,Bug,Fighting,UU,RARE,0,,Salac Berry,Moxie,252 Atk / 4 SpD / 252 Spe,Jolly,,Endure,Reversal,Knock Off,Stone Edge,0,0,0,0,0,0
Heracross,214,Bug,Fighting,UU,RARE,0,,Leftovers,Guts,168 HP / 172 Atk / 168 Def,Adamant,,Bulk Up,Earthquake,Knock Off,Stone Edge,0,0,0,0,0,0
Heracross,214,Bug,Fighting,OU,ULTRA-RARE,1,,Heracronite,Moxie,252 Atk / 4 SpD / 252 Spe,Jolly,,Substitute,Rock Blast,Bullet Seed,Close Combat,0,0,0,0,0,0
Heracross,214,Bug,Fighting,OU,ULTRA-RARE,1,,Heracronite,Moxie,252 Atk / 4 SpD / 252 Spe,Jolly,,Arm Thrust,Pin Missile,Rock Blast,Swords Dance,0,0,0,0,0,0
Sneasel,215,Dark,Ice,NU,COMMON,6,,Choice Band,Pickpocket,252 Atk / 4 Def / 252 Spe,Jolly,,Knock Off,Icicle Crash,Ice Shard,Pursuit,0,0,0,0,0,0
Sneasel,215,Dark,Ice,NU,COMMON,6,,Focus Sash,Pickpocket,252 Atk / 4 SpD / 252 Spe,Hasty,0 Def,Icicle Crash,Ice Shard,Knock Off,Counter,0,0,0,0,0,0
Sneasel,215,Dark,Ice,NU,COMMON,6,,Icium Z,Inner Focus,252 Atk / 4 Def / 252 Spe,Jolly,,Icicle Crash,Swords Dance,Ice Shard,Knock Off,0,0,0,0,0,0
Sneasel,215,Dark,Ice,NU,COMMON,6,,Eviolite,Pickpocket,168 HP / 172 Atk / 168 SpD,Adamant,,Knock Off,Taunt,Pursuit,Icicle Crash,0,0,0,0,0,0
Sneasel,215,Dark,Ice,NU,COMMON,6,,Lum Berry,Pickpocket,252 Atk / 4 SpD / 252 Spe,Jolly,,Substitute,Swords Dance,Knock Off,Icicle Crash,0,0,0,0,0,0
Sneasel,215,Dark,Ice,NU,COMMON,6,,Eviolite,Pickpocket,168 HP / 168 Def / 172 Spe,Jolly,,Knock Off,Ice Shard,Foul Play,Toxic,0,0,0,0,0,0
Teddiursa,216,Normal,,LC,NONE,-1,,Toxic Orb,Quick Feet,36 HP / 196 Atk / 36 Def / 36 SpD / 196 Spe,Jolly,,Facade,Crunch,Close Combat,Protect,0,0,0,0,0,0
Ursaring,217,Normal,,PU,COMMON,0,,Toxic Orb,Quick Feet,252 Atk / 4 SpD / 252 Spe,Jolly,,Facade,Close Combat,Crunch,Swords Dance,0,0,0,0,0,0
Ursaring,217,Normal,,PU,COMMON,0,,Toxic Orb,Quick Feet,252 Atk / 4 SpD / 252 Spe,Jolly,,Play Rough,Crunch,Close Combat,Facade,0,0,0,0,0,0
Ursaring,217,Normal,,PU,COMMON,0,,Leftovers,Quick Feet,252 HP / 4 Def / 252 SpD,Careful,,Bulk Up,Rest,Body Slam,Sleep Talk,0,0,0,0,0,0
Ursaring,217,Normal,,PU,COMMON,0,,Choice Band,Quick Feet,252 Atk / 4 SpD / 252 Spe,Adamant,,Close Combat,Crunch,Double-Edge,Play Rough,0,0,0,0,0,0
Ursaring,217,Normal,,PU,COMMON,0,,Leftovers,Guts,168 HP / 168 Atk / 172 SpD,Careful,,Close Combat,Protect,Toxic,Facade,0,0,0,0,0,0
Ursaring,217,Normal,,PU,COMMON,0,,Normalium Z,Guts,252 Atk / 4 Def / 252 Spe,Jolly,,Double-Edge,Crunch,Close Combat,Swords Dance,0,0,0,0,0,0
Slugma,218,Fire,,LC,NONE,-1,,Eviolite,Flame Body,36 HP / 196 Def / 116 SpA / 116 SpD / 36 Spe,Bold,0 Atk,Lava Plume,Clear Smog,Memento,Will-O-Wisp,0,0,0,0,0,0
Magcargo,219,Fire,Rock,Untiered,COMMON,1,,Leftovers,Flame Body,252 HP / 4 SpA / 252 SpD,Calm,0 Atk,Stealth Rock,Toxic,Lava Plume,Recover,0,0,0,0,0,0
Magcargo,219,Fire,Rock,Untiered,COMMON,1,,Light Clay,Flame Body,252 HP / 252 Def / 4 SpD,Bold,0 Atk,Reflect,Light Screen,Lava Plume,Recover,0,0,0,0,0,0
Magcargo,219,Fire,Rock,Untiered,COMMON,1,,Darkinium Z,Flame Body,252 HP / 4 Def / 252 SpD,Calm,0 Atk,Memento,Stealth Rock,Recover,Lava Plume,0,0,0,0,0,0
Magcargo,219,Fire,Rock,Untiered,COMMON,1,,White Herb,Weak Armor,252 SpA / 4 SpD / 252 Spe,Timid,0 Atk,Shell Smash,Hidden Power [Grass],Earth Power,Fire Blast,0,0,0,0,0,0
Magcargo,219,Fire,Rock,Untiered,COMMON,1,,Life Orb,Weak Armor,252 SpA / 4 SpD / 252 Spe,Modest,0 Atk,Stealth Rock,Earth Power,Recover,Fire Blast,0,0,0,0,0,0
Magcargo,219,Fire,Rock,Untiered,COMMON,1,,Grassium Z,Weak Armor,252 HP / 252 SpA / 4 SpD,Modest,0 Atk,Solar Beam,Fire Blast,Stealth Rock,Will-O-Wisp,0,0,0,0,0,0
Swinub,220,Ice,Ground,LC,NONE,-1,,Focus Sash,Oblivious,116 HP / 196 Atk / 196 Spe,Jolly,,Stealth Rock,Ice Shard,Earthquake,Endeavor,0,0,0,0,0,0
Piloswine,221,Ice,Ground,NU,COMMON,13,,Eviolite,Thick Fat,252 HP / 252 Atk / 4 Def,Adamant,,Stealth Rock,Earthquake,Ice Shard,Icicle Crash,0,0,0,0,0,0
Piloswine,221,Ice,Ground,NU,COMMON,13,,Eviolite,Thick Fat,252 HP / 252 Atk / 4 SpD,Adamant,,Roar,Stealth Rock,Ice Shard,Earthquake,0,0,0,0,0,0
Piloswine,221,Ice,Ground,NU,COMMON,13,,Eviolite,Thick Fat,168 HP / 172 Atk / 168 SpD,Adamant,,Sleep Talk,Icicle Spear,Curse,Rest,0,0,0,0,0,0
Piloswine,221,Ice,Ground,NU,COMMON,13,,Choice Band,Thick Fat,252 HP / 252 Atk / 4 SpD,Adamant,,Earthquake,Ice Shard,Icicle Crash,Superpower,0,0,0,0,0,0
Piloswine,221,Ice,Ground,NU,COMMON,13,,Icium Z,Thick Fat,168 HP / 172 Atk / 168 SpD,Adamant,,Icicle Crash,Stealth Rock,Earthquake,Curse,0,0,0,0,0,0
Piloswine,221,Ice,Ground,NU,COMMON,13,,Eviolite,Thick Fat,168 HP / 172 Def / 168 SpD,Impish,,Earthquake,Sleep Talk,Toxic,Rest,0,0,0,0,0,0
Corsola,222,Water,Rock,Untiered,COMMON,2,,Leftovers,Regenerator,252 HP / 4 SpA / 252 SpD,Calm,0 Atk,Stealth Rock,Recover,Scald,Toxic,0,0,0,0,0,0
Corsola,222,Water,Rock,Untiered,COMMON,2,,Leftovers,Regenerator,168 HP / 172 Def / 168 SpA,Bold,0 Atk,Surf,Ice Beam,Calm Mind,Recover,0,0,0,0,0,0
Corsola,222,Water,Rock,Untiered,COMMON,2,,Choice Band,Hustle,252 HP / 252 Atk / 4 SpD,Adamant,,Sucker Punch,Earthquake,Rock Slide,Liquidation,0,0,0,0,0,0
Remoraid,223,Water,,LC,NONE,-1,,Choice Scarf,Hustle,236 SpA / 236 Spe,Naive,,Water Spout,Hydro Pump,Fire Blast,Bullet Seed,0,0,0,0,0,0
Octillery,224,Water,,Untiered,COMMON,2,,Choice Specs,Moody,252 HP / 252 SpA / 4 SpD,Modest,0 Atk,Hydro Pump,Fire Blast,Energy Ball,Ice Beam,0,0,0,0,0,0
Octillery,224,Water,,Untiered,COMMON,2,,Life Orb,Moody,252 HP / 252 Atk / 4 SpD,Adamant,,Substitute,Gunk Shot,Seed Bomb,Waterfall,0,0,0,0,0,0
Octillery,224,Water,,Untiered,COMMON,2,TRICK,Life Orb,Moody,252 HP / 252 SpA / 4 SpD,Quiet,0 Atk / 0 Spe,Energy Ball,Ice Beam,Fire Blast,Surf,0,0,0,0,0,0
Octillery,224,Water,,Untiered,COMMON,2,,Leftovers,Moody,168 HP / 172 SpA / 168 Spe,Modest,0 Atk,Protect,Thunder Wave,Fire Blast,Scald,0,0,0,0,0,0
Octillery,224,Water,,Untiered,COMMON,2,,Leftovers,Moody,252 HP / 4 Def / 252 SpD,Calm,0 Atk,Whirlpool,Rest,Sleep Talk,Toxic,0,0,0,0,0,0
Octillery,224,Water,,Untiered,COMMON,2,,Waterium Z,Sniper,252 HP / 252 SpA / 4 SpD,Modest,0 Atk,Hydro Pump,Fire Blast,Energy Ball,Ice Beam,0,0,0,0,0,0
Delibird,225,Ice,Flying,Untiered,COMMON,13,,Focus Sash,Insomnia,252 Atk / 4 SpD / 252 Spe,Jolly,,Counter,Destiny Bond,Ice Shard,Rapid Spin,0,0,0,0,0,0
Delibird,225,Ice,Flying,Untiered,COMMON,13,,Focus Sash,Hustle,252 Atk / 4 SpD / 252 Spe,Jolly,,Spikes,Destiny Bond,Ice Punch,Rapid Spin,0,0,0,0,0,0
Delibird,225,Ice,Flying,Untiered,COMMON,13,,Light Clay,Vital Spirit,252 HP / 4 SpA / 252 Spe,Timid,0 Atk,Hail,Blizzard,Destiny Bond,Aurora Veil,0,0,0,0,0,0
Mantine,226,Water,Flying,RU,RARE,11,,Rocky Helmet,Water Absorb,252 HP / 252 Def / 4 Spe,Bold,0 Atk,Scald,Roost,Air Slash,Toxic,0,0,0,0,0,0
Mantine,226,Water,Flying,RU,RARE,11,,Waterium Z,Swift Swim,252 SpA / 4 SpD / 252 Spe,Modest,0 Atk,Hydro Pump,Air Slash,Signal Beam,Rain Dance,0,0,0,0,0,0
Mantine,226,Water,Flying,RU,RARE,11,,Leftovers,Water Absorb,252 HP / 4 Def / 252 SpD,Calm,0 Atk,Whirlpool,Toxic,Roost,Protect,0,0,0,0,0,0
Mantine,226,Water,Flying,RU,RARE,11,,Leftovers,Water Absorb,252 HP / 252 SpA / 4 Spe,Modest,0 Atk,Surf,Ice Beam,Roost,Defog,0,0,0,0,0,0
Mantine,226,Water,Flying,RU,RARE,11,,Leftovers,Water Absorb,252 HP / 252 Def / 4 SpD,Bold,0 Atk,Defog,Roost,Scald,Toxic,0,0,0,0,0,0
Mantine,226,Water,Flying,RU,RARE,11,,Choice Specs,Swift Swim,4 Def / 252 SpA / 252 Spe,Modest,0 Atk,Air Slash,Hydro Pump,Ice Beam,Signal Beam,0,0,0,0,0,0
Skarmory,227,Steel,Flying,OU,ULTRA-RARE,5,,Leftovers,Sturdy,252 HP / 4 SpD / 252 Spe,Jolly,,Iron Head,Defog,Taunt,Stealth Rock,0,0,0,0,0,0
Skarmory,227,Steel,Flying,OU,ULTRA-RARE,5,,Flyinium Z,Weak Armor,252 Atk / 4 SpD / 252 Spe,Adamant,,Iron Head,Rock Slide,Brave Bird,Swords Dance,0,0,0,0,0,0
Skarmory,227,Steel,Flying,OU,ULTRA-RARE,5,UBER,Leftovers,Sturdy,252 HP / 252 Def / 4 SpD,Impish,,Roost,Whirlwind,Spikes,Brave Bird,0,0,0,0,0,0
Skarmory,227,Steel,Flying,OU,ULTRA-RARE,5,,Leftovers,Sturdy,252 HP / 4 Def / 252 SpD,Careful,,Iron Head,Stealth Rock,Roost,Whirlwind,0,0,0,0,0,0
Skarmory,227,Steel,Flying,OU,ULTRA-RARE,5,,Weakness Policy,Weak Armor,252 Atk / 4 Def / 252 Spe,Jolly,,Swords Dance,Iron Head,Rock Slide,Brave Bird,0,0,0,0,0,0
Skarmory,227,Steel,Flying,OU,ULTRA-RARE,5,,Leftovers,Sturdy,252 HP / 4 Def / 252 SpD,Careful,,Roost,Defog,Iron Head,Toxic,0,0,0,0,0,0
Houndour,228,Fire,Dark,LC,NONE,-1,,Life Orb,Flash Fire,36 Atk / 36 Def / 196 SpA / 236 Spe,Naive,9 HP,Fire Blast,Dark Pulse,Sucker Punch,Flame Charge,0,0,0,0,0,0
Houndour,228,Fire,Dark,LC,NONE,-1,,Choice Scarf,Flash Fire,36 Def / 196 SpA / 36 SpD / 236 Spe,Naive,,Destiny Bond,Fire Blast,Dark Pulse,Pursuit,0,0,0,0,0,0
Houndoom,229,Fire,Dark,PU,COMMON,10,,Focus Sash,Flash Fire,4 Def / 252 SpA / 252 Spe,Timid,0 Atk,Dark Pulse,Nasty Plot,Fire Blast,Destiny Bond,0,0,0,0,0,0
Houndoom,229,Fire,Dark,PU,COMMON,10,,Grassium Z,Flash Fire,252 SpA / 4 SpD / 252 Spe,Timid,0 Atk,Fire Blast,Nasty Plot,Dark Pulse,Solar Beam,0,0,0,0,0,0
Houndoom,229,Fire,Dark,UU,RARE,1,SUN,Houndoominite,Flash Fire,252 SpA / 4 SpD / 252 Spe,Timid,0 Atk,Sunny Day,Solar Beam,Dark Pulse,Fire Blast,0,0,0,0,0,0
Houndoom,229,Fire,Dark,UU,RARE,1,,Houndoominite,Flash Fire,252 SpA / 4 SpD / 252 Spe,Timid,0 Atk,Destiny Bond,Nasty Plot,Fire Blast,Dark Pulse,0,0,0,0,0,0
Houndoom,229,Fire,Dark,PU,COMMON,10,,Choice Scarf,Flash Fire,252 SpA / 4 SpD / 252 Spe,Timid,0 Atk,Dark Pulse,Hidden Power [Grass],Overheat,Destiny Bond,0,0,0,0,0,0
Houndoom,229,Fire,Dark,UU,RARE,1,,Houndoominite,Flash Fire,4 Atk / 252 SpA / 252 Spe,Hasty,,Nasty Plot,Fire Blast,Dark Pulse,Flame Charge,0,0,0,0,0,0
Kingdra,230,Water,Dragon,RU,RARE,2,,Scope Lens,Sniper,4 Def / 252 SpA / 252 Spe,Timid,0 Atk,Hydro Pump,Ice Beam,Draco Meteor,Focus Energy,0,0,0,0,0,0
Kingdra,230,Water,Dragon,RU,RARE,2,,Leftovers,Swift Swim,252 HP / 4 SpA / 252 Spe,Timid,0 Atk,Disable,Toxic,Protect,Scald,0,0,0,0,0,0
Kingdra,230,Water,Dragon,RU,RARE,2,,Dragonium Z,Swift Swim,252 Atk / 4 SpD / 252 Spe,Jolly,,Iron Head,Waterfall,Outrage,Dragon Dance,0,0,0,0,0,0
Kingdra,230,Water,Dragon,RU,RARE,2,,Red Card,Swift Swim,252 HP / 4 Def / 252 Spe,Adamant,,Dragon Dance,Waterfall,Outrage,Iron Head,0,0,0,0,0,0
Kingdra,230,Water,Dragon,RU,RARE,2,,Leftovers,Swift Swim,252 Atk / 4 SpD / 252 Spe,Adamant,,Dragon Dance,Substitute,Waterfall,Outrage,0,0,0,0,0,0
Kingdra,230,Water,Dragon,RU,RARE,2,,Choice Specs,Swift Swim,252 SpA / 4 SpD / 252 Spe,Modest,0 Atk,Hydro Pump,Surf,Draco Meteor,Ice Beam,0,0,0,0,0,0
Phanpy,231,Ground,,LC,NONE,-1,,Eviolite,Pickup,116 HP / 116 Atk / 116 Def / 116 SpD / 36 Spe,Careful,,Stealth Rock,Earthquake,Knock Off,Ice Shard,0,0,0,0,0,0
Donphan,232,Ground,,RU,RARE,12,,Assault Vest,Sturdy,252 HP / 252 Atk / 4 SpD,Adamant,,Ice Shard,Earthquake,Rapid Spin,Knock Off,0,0,0,0,0,0
Donphan,232,Ground,,RU,RARE,12,,Groundium Z,Sturdy,252 HP / 252 Atk / 4 SpD,Adamant,,Rapid Spin,Ice Shard,Knock Off,Earthquake,0,0,0,0,0,0
Donphan,232,Ground,,RU,RARE,12,,Choice Band,Sturdy,252 Atk / 4 SpD / 252 Spe,Adamant,,Ice Shard,Gunk Shot,Seed Bomb,Earthquake,0,0,0,0,0,0
Donphan,232,Ground,,RU,RARE,12,,Leftovers,Sturdy,252 HP / 4 Atk / 252 SpD,Careful,,Earthquake,Protect,Toxic,Knock Off,0,0,0,0,0,0
Donphan,232,Ground,,RU,RARE,12,,Weakness Policy,Sturdy,252 Atk / 4 SpD / 252 Spe,Jolly,,Rock Polish,Stone Edge,Ice Shard,Earthquake,0,0,0,0,0,0
Donphan,232,Ground,,RU,RARE,12,,Leftovers,Sturdy,252 HP / 252 Atk / 4 Def,Adamant,,Earthquake,Stealth Rock,Rapid Spin,Knock Off,0,0,0,0,0,0
Porygon2,233,Normal,,RU,RARE,11,,Choice Specs,Analytic,252 HP / 4 Def / 252 SpA,Modest,0 Atk,Tri Attack,Ice Beam,Thunderbolt,Trick,0,0,0,0,0,0
Porygon2,233,Normal,,RU,RARE,11,,Eviolite,Trace,168 HP / 168 Def / 172 SpD,Calm,0 Atk,Tri Attack,Thunder Wave,Ice Beam,Recover,0,0,0,0,0,0
Porygon2,233,Normal,,RU,RARE,11,TRICK,Eviolite,Download,252 HP / 4 Def / 252 SpA,Quiet,0 Atk / 0 Spe,Trick Room,Recover,Thunderbolt,Ice Beam,0,0,0,0,0,0
Porygon2,233,Normal,,RU,RARE,11,,Eviolite,Trace,252 HP / 252 Def / 4 SpA,Bold,0 Atk,Ice Beam,Recover,Foul Play,Toxic,0,0,0,0,0,0
Porygon2,233,Normal,,RU,RARE,11,,Life Orb,Download,252 SpA / 4 SpD / 252 Spe,Modest,0 Atk,Agility,Tri Attack,Ice Beam,Thunderbolt,0,0,0,0,0,0
Porygon2,233,Normal,,RU,RARE,11,,Normalium Z,Trace,4 Def / 252 SpA / 252 Spe,Timid,0 Atk,Shadow Ball,Conversion,Recover,Thunderbolt,0,0,0,0,0,0
Stantler,234,Normal,,Untiered,COMMON,2,,Life Orb,Intimidate,252 Atk / 4 SpD / 252 Spe,Lonely,,Double-Edge,Sucker Punch,Jump Kick,Energy Ball,0,0,0,0,0,0
Stantler,234,Normal,,Untiered,COMMON,2,,Choice Band,Intimidate,252 Atk / 4 SpD / 252 Spe,Jolly,,Sucker Punch,Double-Edge,Earthquake,Zen Headbutt,0,0,0,0,0,0
Stantler,234,Normal,,Untiered,COMMON,2,,Leftovers,Sap Sipper,252 Atk / 4 Def / 252 Spe,Jolly,,Headbutt,Earthquake,Thunder Wave,Zen Headbutt,0,0,0,0,0,0
Smeargle,235,Normal,,PU,COMMON,12,,Focus Sash,Moody,252 HP / 4 Def / 252 Spe,Timid,0 Atk,Spore,Stealth Rock,Sticky Web,Taunt,0,0,0,0,0,0
Smeargle,235,Normal,,PU,COMMON,12,BATON,Focus Sash,Moody,252 HP / 4 Def / 252 Spe,Timid,0 Atk,Shell Smash,Spore,Stealth Rock,Baton Pass,0,0,0,0,0,0
Smeargle,235,Normal,,PU,COMMON,12,BATON,Focus Sash,Moody,252 HP / 4 SpD / 252 Spe,Timid,0 Atk,Spore,Belly Drum,Nasty Plot,Baton Pass,0,0,0,0,0,0
Smeargle,235,Normal,,PU,COMMON,12,BATON,Focus Sash,Moody,252 Atk / 4 SpD / 252 Spe,Jolly,0 HP,Endeavor,Extreme Speed,Spore,Baton Pass,0,0,0,0,0,0
Smeargle,235,Normal,,PU,COMMON,12,BATON,Focus Sash,Moody,252 HP / 4 SpD / 252 Spe,Timid,0 Atk,Quiver Dance,Spore,King's Shield,Baton Pass,0,0,0,0,0,0
Smeargle,235,Normal,,PU,COMMON,12,UBER,Focus Sash,Moody,252 HP / 4 Def / 252 Spe,Timid,0 Atk,Sticky Web,Stealth Rock,Spore,Memento,0,0,0,0,0,0
Tyrogue,236,Fighting,,LC,NONE,-1,,Toxic Orb,Guts,236 Atk / 236 Spe,Adamant,,High Jump Kick,Fake Out,Mach Punch,Bullet Punch,0,0,0,0,0,0
Hitmontop,237,Fighting,,NU,COMMON,5,,Leftovers,Intimidate,252 HP / 252 Atk / 4 SpD,Adamant,,Rapid Spin,Close Combat,Pursuit,Bullet Punch,0,0,0,0,0,0
Hitmontop,237,Fighting,,NU,COMMON,5,,Leftovers,Technician,252 HP / 252 Atk / 4 Def,Adamant,,Stone Edge,Mach Punch,Bullet Punch,Toxic,0,0,0,0,0,0
Hitmontop,237,Fighting,,NU,COMMON,5,,Chesto Berry,Intimidate,252 HP / 4 Atk / 252 SpD,Careful,,Bulk Up,High Jump Kick,Bullet Punch,Rest,0,0,0,0,0,0
Hitmontop,237,Fighting,,NU,COMMON,5,,Choice Band,Technician,252 Atk / 4 SpD / 252 Spe,Adamant,,Close Combat,Sucker Punch,Bullet Punch,Stone Edge,0,0,0,0,0,0
Hitmontop,237,Fighting,,NU,COMMON,5,,Assault Vest,Intimidate,252 HP / 252 Atk / 4 SpD,Adamant,,Bullet Punch,High Jump Kick,Stone Edge,Rapid Spin,0,0,0,0,0,0
Hitmontop,237,Fighting,,NU,COMMON,5,,Life Orb,Intimidate,252 Atk / 4 SpD / 252 Spe,Adamant,,Agility,High Jump Kick,Earthquake,Stone Edge,0,0,0,0,0,0
Smoochum,238,Ice,Psychic,LC,NONE,-1,,Icium Z,Forewarn,240 SpA / 240 Spe,Timid,0 Atk,Blizzard,Psychic,Hidden Power [Fighting],Substitute,0,0,0,0,0,0
Elekid,239,Electric,,LC,NONE,-1,,Life Orb,Vital Spirit,240 SpA / 240 Spe,Hasty,,Volt Switch,Thunderbolt,Psychic,Cross Chop,0,0,0,0,0,0
Magby,240,Fire,,LC,NONE,-1,,Berry Juice,Vital Spirit,236 Atk / 252 Spe,Jolly,29 HP,Belly Drum,Fire Punch,Mach Punch,Return,0,0,0,0,0,0
Magby,240,Fire,,LC,NONE,-1,,Life Orb,Vital Spirit,236 Atk / 252 Spe,Jolly,0 HP,Flare Blitz,Cross Chop,Mach Punch,Thunder Punch,0,0,0,0,0,0
Miltank,241,Normal,,NU,COMMON,10,,Rocky Helmet,Sap Sipper,252 HP / 252 Def / 4 SpD,Impish,,Milk Drink,Body Slam,Toxic,Stealth Rock,0,0,0,0,0,0
Miltank,241,Normal,,NU,COMMON,10,,Lum Berry,Scrappy,252 HP / 4 Atk / 252 SpD,Careful,,Curse,Milk Drink,Return,Earthquake,0,0,0,0,0,0
Miltank,241,Normal,,NU,COMMON,10,,Leftovers,Scrappy,252 Atk / 4 SpD / 252 Spe,Jolly,,Milk Drink,Power-Up Punch,Substitute,Body Slam,0,0,0,0,0,0
Miltank,241,Normal,,NU,COMMON,10,,Focus Sash,Scrappy,252 HP / 4 Def / 252 SpD,Calm,0 Atk,Whirlpool,Toxic,Milk Drink,Protect,0,0,0,0,0,0
Miltank,241,Normal,,NU,COMMON,10,,Choice Band,Scrappy,252 Atk / 4 SpD / 252 Spe,Jolly,,Double-Edge,Ice Punch,Zen Headbutt,Earthquake,0,0,0,0,0,0
Miltank,241,Normal,,NU,COMMON,10,,Leftovers,Sap Sipper,168 HP / 172 Atk / 168 Spe,Adamant,,Milk Drink,Heal Bell,Fire Punch,Body Slam,0,0,0,0,0,0
Blissey,242,Normal,,UU,RARE,11,,Life Orb,Natural Cure,252 Def / 252 SpA / 4 Spe,Bold,0 Atk,Thunderbolt,Ice Beam,Soft-Boiled,Calm Mind,0,0,0,0,0,0
