POKEMON,DEX,TYPE 1,TYPE 2,TIER,RARITY,TAG,ITEM,ABILITY,EV SPREAD,NATURE,IV SPREAD,MOVE 1,MOVE 2,MOVE 3,MOVE 4,STATUS,GENERATED (D),GENERATED (N),GENERATED (R),PICKED (D),PICKED (N),BANNED
Jumpluff,189,Grass,Flying,PU,COMMON,,Leftovers,Infiltrator,252 HP / 4 Def / 252 Spe,Timid,0 Atk,Infestation,Toxic,Strength Sap,Substitute,PASS,0,0,0,0,0,0
Jumpluff,189,Grass,Flying,PU,COMMON,,Choice Specs,Infiltrator,252 SpA / 4 SpD / 252 Spe,Timid,,Dazzling Gleam,Energy Ball,U-turn,Hidden Power [Fire],PASS,0,0,0,0,0,0
Jumpluff,189,Grass,Flying,PU,COMMON,,,Infiltrator,252 Atk / 4 SpD / 252 Spe,Jolly,,Encore,Acrobatics,Memento,Seed Bomb,PASS,0,0,0,0,0,0
Aipom,190,Normal,,LC Uber,NONE,,Life Orb,Skill Link,76 HP / 116 Atk / 76 Def / 236 Spe,Jolly,,Fury Swipes,Knock Off,Fire Punch,Fake Out,PASS,0,0,0,0,0,0
Aipom,190,Normal,,LC Uber,NONE,,Eviolite,Skill Link,76 HP / 116 Atk / 76 Def / 236 Spe,Jolly,,U-turn,Fury Swipes,Knock Off,Brick Break,PASS,0,0,0,0,0,0
Sunkern,191,Grass,,LC,NONE,TRICK,Life Orb,Solar Power,116 HP / 196 Atk / 200 SpA,Brave,0 Spe,Seed Bomb,Return,Hidden Power [Fire],Swords Dance,PASS,0,0,0,0,0,0
Sunflora,192,Grass,,Untiered,COMMON,SUN,Life Orb,Solar Power,252 SpA / 4 SpD / 252 Spe,Modest,0 Atk,Leaf Storm,Earth Power,Hidden Power [Ice],Synthesis,PASS,0,0,0,0,0,0
Sunflora,192,Grass,,Untiered,COMMON,SUN,Heat Rock,Solar Power,252 HP / 252 SpA / 4 SpD,Modest,0 Atk,Sunny Day,Solar Beam,Morning Sun,Hidden Power [Fire],PASS,0,0,0,0,0,0
Sunflora,192,Grass,,Untiered,COMMON,,Choice Specs,Solar Power,252 SpA / 4 SpD / 252 Spe,Modest,0 Atk,Earth Power,Leaf Storm,Hidden Power [Ice],Sludge Bomb,PASS,0,0,0,0,0,0
Yanma,193,Bug,Flying,LC Uber,NONE,,Berry Juice,Compound Eyes,236 SpA / 236 Spe,Timid,0 Atk,Hypnosis,Bug Buzz,Air Slash,U-turn,PASS,0,0,0,0,0,0
Yanma,193,Bug,Flying,LC Uber,NONE,,Life Orb,Speed Boost,240 SpA / 240 Spe,Modest,0 Atk,Air Slash,Hidden Power [Fighting],Protect,Bug Buzz,PASS,0,0,0,0,0,0
Wooper,194,Water,Ground,LC,NONE,,Eviolite,Water Absorb,76 HP / 236 Def / 156 SpD,Sassy,,Scald,Recover,Earthquake,Yawn,PASS,0,0,0,0,0,0
Quagsire,195,Water,Ground,PU,COMMON,,Rocky Helmet,Unaware,252 HP / 252 Def / 4 SpA,Relaxed,,Scald,Recover,Earthquake,Toxic,PASS,0,0,0,0,0,0
Quagsire,195,Water,Ground,PU,COMMON,,Leftovers,Unaware,252 HP / 4 Atk / 252 SpD,Careful,,Curse,Earthquake,Recover,Waterfall,PASS,0,0,0,0,0,0
Quagsire,195,Water,Ground,PU,COMMON,,Choice Band,Unaware,252 HP / 252 Atk / 4 SpD,Adamant,,Earthquake,Ice Punch,Stone Edge,Waterfall,PASS,0,0,0,0,0,0
Quagsire,195,Water,Ground,PU,COMMON,,Leftovers,Unaware,252 HP / 252 Def / 4 SpD,Bold,0 Atk,Toxic,Scald,Recover,Infestation,PASS,0,0,0,0,0,0
Quagsire,195,Water,Ground,PU,COMMON,,Leftovers,Unaware,252 HP / 252 Def / 4 SpD,Bold,0 Atk,Sleep Talk,Toxic,Scald,Rest,PASS,0,0,0,0,0,0
Quagsire,195,Water,Ground,PU,COMMON,,Leftovers,Unaware,252 HP / 4 Def / 252 SpD,Sassy,,Scald,Curse,Earthquake,Recover,PASS,0,0,0,0,0,0
Espeon,196,Psychic,,RU,RARE,,Life Orb,Magic Bounce,252 SpA / 4 SpD / 252 Spe,Timid,0 Atk,Stored Power,Hidden Power [Fire],Signal Beam,Calm Mind,PASS,0,0,0,0,0,0
Espeon,196,Psychic,,RU,RARE,,Choice Scarf,Magic Bounce,252 SpA / 4 SpD / 252 Spe,Timid,0 Atk,Psychic,Signal Beam,Hidden Power [Fire],Dazzling Gleam,PASS,0,0,0,0,0,0
Espeon,196,Psychic,,RU,RARE,,Light Clay,Magic Bounce,252 HP / 4 SpA / 252 Spe,Timid,0 Atk,Morning Sun,Psychic,Light Screen,Reflect,PASS,0,0,0,0,0,0
Espeon,196,Psychic,,RU,RARE,,Choice Specs,Magic Bounce,252 SpA / 4 SpD / 252 Spe,Timid,0 Atk,Psychic,Dazzling Gleam,Shadow Ball,Trick,PASS,0,0,0,0,0,0
Espeon,196,Psychic,,RU,RARE,,Leftovers,Magic Bounce,252 HP / 4 SpA / 252 Spe,Timid,0 Atk,Heal Bell,Protect,Psychic,Wish,PASS,0,0,0,0,0,0
Espeon,196,Psychic,,RU,RARE,,Leftovers,Magic Bounce,252 SpA / 4 SpD / 252 Spe,Timid,0 Atk,Calm Mind,Psyshock,Hidden Power [Fighting],Morning Sun,PASS,0,0,0,0,0,0
Umbreon,197,Dark,,RU,RARE,,Leftovers,Synchronize,168 HP / 168 Atk / 172 SpD,Careful,,Sleep Talk,Payback,Curse,Rest,PASS,0,0,0,0,0,0
Umbreon,197,Dark,,RU,RARE,BATON,Normalium Z,Synchronize,168 HP / 172 Def / 168 SpD,Bold,0 Atk,Celebrate,Baton Pass,Heal Bell,Dark Pulse,PASS,0,0,0,0,0,0
Umbreon,197,Dark,,RU,RARE,,Leftovers,Synchronize,252 HP / 4 Def / 252 SpD,Calm,0 Atk,Foul Play,Protect,Wish,Toxic,PASS,0,0,0,0,0,0
Umbreon,197,Dark,,RU,RARE,,Leftovers,Synchronize,168 HP / 172 Atk / 168 SpD,Adamant,,Curse,Sucker Punch,Payback,Wish,PASS,0,0,0,0,0,0
Umbreon,197,Dark,,RU,RARE,,Rocky Helmet,Synchronize,252 HP / 252 Def / 4 SpD,Bold,0 Atk,Heal Bell,Foul Play,Toxic,Wish,PASS,0,0,0,0,0,0
Umbreon,197,Dark,,RU,RARE,,Leftovers,Synchronize,252 HP / 252 Def / 4 SpD,Bold,0 Atk,Moonlight,Toxic,Heal Bell,Foul Play,PASS,0,0,0,0,0,0
Murkrow,198,Dark,Flying,PU,COMMON,,Flyinium Z,Prankster,252 Atk / 4 SpD / 252 Spe,Jolly,,Mirror Move,Brave Bird,Sucker Punch,Pursuit,PASS,0,0,0,0,0,0
Murkrow,198,Dark,Flying,PU,COMMON,,Life Orb,Prankster,252 Atk / 4 SpA / 252 Spe,Naive,,Brave Bird,Sucker Punch,Heat Wave,Thunder Wave,PASS,0,0,0,0,0,0
Murkrow,198,Dark,Flying,PU,COMMON,,Eviolite,Prankster,252 HP / 252 Def / 4 SpD,Bold,0 Atk,Substitute,Swagger,Roost,Foul Play,PASS,0,0,0,0,0,0
Murkrow,198,Dark,Flying,PU,COMMON,,Eviolite,Prankster,252 HP / 252 Def / 4 SpD,Bold,0 Atk,Calm Mind,Roost,Dark Pulse,Feather Dance,PASS,0,0,0,0,0,0
Murkrow,198,Dark,Flying,PU,COMMON,,Eviolite,Prankster,252 HP / 252 Def / 4 SpD,Bold,0 Atk,Perish Song,Mean Look,Roost,Taunt,PASS,0,0,0,0,0,0
Murkrow,198,Dark,Flying,PU,COMMON,,Eviolite,Prankster,252 HP / 252 Def / 4 SpD,Bold,0 Atk,Taunt,Toxic,Foul Play,Roost,PASS,0,0,0,0,0,0
Slowking,199,Water,Psychic,NU,COMMON,,Choice Specs,Regenerator,252 HP / 4 Def / 252 SpA,Modest,0 Atk,Psychic,Trick,Surf,Fire Blast,PASS,0,0,0,0,0,0
Slowking,199,Water,Psychic,NU,COMMON,TRICK,Leftovers,Regenerator,252 HP / 252 SpA / 4 SpD,Quiet,0 Atk / 0 Spe,Psychic,Scald,Slack Off,Trick Room,PASS,0,0,0,0,0,0
Slowking,199,Water,Psychic,NU,COMMON,,Assault Vest,Regenerator,252 HP / 252 SpA / 4 SpD,Modest,0 Atk,Scald,Psychic,Fire Blast,Ice Beam,PASS,0,0,0,0,0,0
Slowking,199,Water,Psychic,NU,COMMON,,Psychium Z,Regenerator,252 HP / 252 SpA / 4 SpD,Modest,0 Atk,Nasty Plot,Ice Beam,Psychic,Scald,PASS,0,0,0,0,0,0
Slowking,199,Water,Psychic,NU,COMMON,,Leftovers,Regenerator,252 HP / 252 Def / 4 SpA,Bold,0 Atk,Scald,Slack Off,Calm Mind,Psyshock,PASS,0,0,0,0,0,0
Slowking,199,Water,Psychic,NU,COMMON,,Leftovers,Regenerator,252 HP / 4 SpA / 252 SpD,Calm,0 Atk,Whirlpool,Slack Off,Toxic,Protect,PASS,0,0,0,0,0,0
Misdreavus,200,Ghost,,NFE,NONE,,Eviolite,Levitate,168 HP / 168 Def / 172 Spe,Timid,0 Atk,Will-O-Wisp,Taunt,Foul Play,Pain Split,PASS,0,0,0,0,0,0
Misdreavus,200,Ghost,,NFE,NONE,,Eviolite,Levitate,252 SpA / 4 SpD / 252 Spe,Timid,0 Atk,Nasty Plot,Shadow Ball,Hidden Power [Fighting],Taunt,PASS,0,0,0,0,0,0
Misdreavus,200,Ghost,,NFE,NONE,,Eviolite,Levitate,252 HP / 4 Def / 252 Spe,Timid,0 Atk,Taunt,Destiny Bond,Hex,Thunder Wave,PASS,0,0,0,0,0,0
Unown,201,Psychic,,Untiered,COMMON,,Choice Scarf,Levitate,252 SpA / 4 SpD / 252 Spe,Timid,0 Atk,Hidden Power [Psychic],,,,PASS,0,0,0,0,0,0
Wobbuffet,202,Psychic,,Untiered,COMMON,,Leftovers,Shadow Tag,252 Def / 252 SpD / 4 Spe,Bold,0 Atk,Encore,Counter,Destiny Bond,Mirror Coat,PASS,0,0,0,0,0,0
Wobbuffet,202,Psychic,,Untiered,COMMON,,Leftovers,Shadow Tag,252 Def / 252 SpD / 4 Spe,Calm,0 Atk,Charm,Mirror Coat,Destiny Bond,Encore,PASS,0,0,0,0,0,0
Girafarig,203,Normal,Psychic,Untiered,COMMON,,Life Orb,Sap Sipper,252 SpA / 4 SpD / 252 Spe,Timid,0 Atk,Nasty Plot,Shadow Ball,Psychic,Hyper Voice,PASS,0,0,0,0,0,0
Girafarig,203,Normal,Psychic,Untiered,COMMON,,Choice Specs,Sap Sipper,252 SpA / 4 SpD / 252 Spe,Timid,0 Atk,Signal Beam,Hyper Voice,Psyshock,Trick,PASS,0,0,0,0,0,0
Girafarig,203,Normal,Psychic,Untiered,COMMON,,Choice Band,Early Bird,252 Atk / 4 Def / 252 Spe,Jolly,,Return,Zen Headbutt,Earthquake,Sucker Punch,PASS,0,0,0,0,0,0
Girafarig,203,Normal,Psychic,Untiered,COMMON,BATON,Focus Sash,Sap Sipper,252 SpA / 4 SpD / 252 Spe,Timid,0 Atk,Agility,Psychic,Nasty Plot,Baton Pass,PASS,0,0,0,0,0,0
Girafarig,203,Normal,Psychic,Untiered,COMMON,,Leftovers,Sap Sipper,252 HP / 4 Def / 252 Spe,Timid,0 Atk,Wish,Foul Play,Toxic,Protect,PASS,0,0,0,0,0,0
Girafarig,203,Normal,Psychic,Untiered,COMMON,,Psychium Z,Sap Sipper,168 HP / 172 SpA / 168 SpD,Modest,0 Atk,Calm Mind,Psychic,Wish,Hyper Voice,PASS,0,0,0,0,0,0
Pineco,204,Bug,,LC,NONE,,Berry Juice,Sturdy,236 Atk / 36 Def / 236 Spe,Jolly,,Stealth Rock,Spikes,Rapid Spin,Explosion,PASS,0,0,0,0,0,0
Forretress,205,Bug,Steel,RU,RARE,,Leftovers,Sturdy,252 HP / 252 Def / 4 SpA,Bold,0 Atk,Rapid Spin,Stealth Rock,Toxic,Volt Switch,PASS,0,0,0,0,0,0
Forretress,205,Bug,Steel,RU,RARE,,Choice Band,Sturdy,252 HP / 252 Atk / 4 SpD,Brave,0 Spe,Earthquake,Volt Switch,Gyro Ball,Explosion,PASS,0,0,0,0,0,0
Forretress,205,Bug,Steel,RU,RARE,,Groundium Z,Sturdy,252 Atk / 4 Def / 252 SpD,Brave,0 Spe,Spikes,Stealth Rock,Earthquake,Volt Switch,PASS,0,0,0,0,0,0
Forretress,205,Bug,Steel,RU,RARE,,Rocky Helmet,Sturdy,252 HP / 4 Def / 252 SpD,Sassy,0 Atk / 0 Spe,Toxic Spikes,Volt Switch,Rest,Sleep Talk,PASS,0,0,0,0,0,0
Forretress,205,Bug,Steel,RU,RARE,TRICK,Leftovers,Overcoat,252 HP / 4 Atk / 252 Def,Relaxed,0 Spe,Rapid Spin,Gyro Ball,Volt Switch,Spikes,PASS,0,0,0,0,0,0
Forretress,205,Bug,Steel,RU,RARE,,Leftovers,Sturdy,252 HP / 4 Atk / 252 SpD,Careful,,Toxic,Earthquake,Protect,Rapid Spin,PASS,0,0,0,0,0,0
Dunsparce,206,Normal,,Untiered,COMMON,,Leftovers,Serene Grace,252 Atk / 4 Def / 252 Spe,Jolly,,Coil,Headbutt,Drill Run,Glare,PASS,0,0,0,0,0,0
Dunsparce,206,Normal,,Untiered,COMMON,,Leftovers,Serene Grace,252 HP / 4 Def / 252 Spe,Jolly,,Roost,Coil,Headbutt,Glare,PASS,0,0,0,0,0,0
Dunsparce,206,Normal,,Untiered,COMMON,,Leftovers,Serene Grace,252 HP / 4 Atk / 252 SpD,Careful,,Stealth Rock,Headbutt,Glare,Roost,PASS,0,0,0,0,0,0
Gligar,207,Ground,Flying,UU,RARE,,Eviolite,Immunity,168 HP / 172 Def / 168 Spe,Impish,,Roost,Defog,Earthquake,Toxic,PASS,0,0,0,0,0,0
Gligar,207,Ground,Flying,UU,RARE,,Eviolite,Immunity,252 Atk / 4 SpD / 252 Spe,Jolly,,Swords Dance,Roost,Earthquake,Stone Edge,PASS,0,0,0,0,0,0
Gligar,207,Ground,Flying,UU,RARE,,Eviolite,Immunity,168 HP / 172 Def / 168 Spe,Impish,,Taunt,Toxic,Earthquake,Roost,PASS,0,0,0,0,0,0
Gligar,207,Ground,Flying,UU,RARE,,Eviolite,Immunity,168 HP / 172 Def / 168 Spe,Impish,,Stealth Rock,Earthquake,U-turn,Roost,PASS,0,0,0,0,0,0
Gligar,207,Ground,Flying,UU,RARE,,Eviolite,Hyper Cutter,252 Atk / 4 SpD / 252 Spe,Jolly,,Swords Dance,Acrobatics,Knock Off,Earthquake,PASS,0,0,0,0,0,0
Gligar,207,Ground,Flying,UU,RARE,BATON,Eviolite,Hyper Cutter,252 Atk / 4 SpD / 252 Spe,Adamant,,Agility,Baton Pass,Swords Dance,Earthquake,PASS,0,0,0,0,0,0
Steelix,208,Ground,Steel,UU,RARE,,Steelixite,Sturdy,252 Atk / 4 SpD / 252 Spe,Adamant,,Heavy Slam,Earthquake,Substitute,Rock Polish,PASS,0,0,0,0,0,0
Steelix,208,Ground,Steel,NU,COMMON,,Leftovers,Sturdy,252 HP / 4 Atk / 252 SpD,Careful,,Stealth Rock,Heavy Slam,Earthquake,Toxic,PASS,0,0,0,0,0,0
Steelix,208,Ground,Steel,UU,RARE,,Steelixite,Rock Head,168 HP / 172 Atk / 168 SpD,Adamant,,Curse,Stealth Rock,Earthquake,Heavy Slam,PASS,0,0,0,0,0,0
Steelix,208,Ground,Steel,NU,COMMON,TRICK,Choice Band,Sturdy,252 HP / 252 Atk / 4 Def,Brave,0 Spe,Earthquake,Heavy Slam,Stone Edge,Aqua Tail,PASS,0,0,0,0,0,0
Steelix,208,Ground,Steel,NU,COMMON,,Life Orb,Sheer Force,252 HP / 252 SpA / 4 Spe,Modest,0 Atk,Dark Pulse,Stealth Rock,Earth Power,Flash Cannon,PASS,0,0,0,0,0,0
Steelix,208,Ground,Steel,UU,RARE,,Steelixite,Sturdy,252 HP / 252 Atk / 4 SpD,Adamant,,Stealth Rock,Heavy Slam,Earthquake,Dragon Tail,PASS,0,0,0,0,0,0
Snubbull,209,Fairy,,LC,NONE,,Berry Juice,Intimidate,36 HP / 116 Atk / 116 Def / 196 SpD / 36 Spe,Impish,,Play Rough,Fire Punch,Thief,Earthquake,PASS,0,0,0,0,0,0
Snubbull,209,Fairy,,LC,NONE,,Berry Juice,Intimidate,196 Atk / 116 Def / 196 Spe,Adamant,,Substitute,Play Rough,Fire Punch,Thief,PASS,0,0,0,0,0,0
Snubbull,209,Fairy,,LC,NONE,,Eviolite,Intimidate,36 HP / 116 Atk / 36 Def / 116 SpD / 196 Spe,Jolly,,Thief,Thunder Wave,Play Rough,Earthquake,PASS,0,0,0,0,0,0
Granbull,210,Fairy,,PU,COMMON,,Leftovers,Intimidate,252 HP / 4 Def / 252 SpD,Careful,,Bulk Up,Earthquake,Fire Punch,Play Rough,PASS,0,0,0,0,0,0
Granbull,210,Fairy,,PU,COMMON,,Choice Band,Intimidate,252 HP / 252 Atk / 4 SpD,Adamant,,Earthquake,Close Combat,Play Rough,Ice Punch,PASS,0,0,0,0,0,0
Granbull,210,Fairy,,PU,COMMON,,Leftovers,Intimidate,252 HP / 4 Atk / 252 Def,Impish,,Play Rough,Earthquake,Protect,Thunder Wave,PASS,0,0,0,0,0,0
Granbull,210,Fairy,,PU,COMMON,,Fairium Z,Intimidate,252 Atk / 4 SpD / 252 Spe,Adamant,,Close Combat,Bulk Up,Fire Punch,Play Rough,PASS,0,0,0,0,0,0
Granbull,210,Fairy,,PU,COMMON,,Leftovers,Intimidate,168 HP / 168 Atk / 172 SpD,Careful,,Toxic,Protect,Play Rough,Earthquake,PASS,0,0,0,0,0,0
Granbull,210,Fairy,,PU,COMMON,,Leftovers,Intimidate,168 HP / 172 Def / 168 Spe,Impish,,Taunt,Heal Bell,Super Fang,Toxic,PASS,0,0,0,0,0,0
Qwilfish,211,Water,Poison,PU,COMMON,,Focus Sash,Intimidate,252 HP / 4 Atk / 252 Spe,Jolly,,Destiny Bond,Spikes,Taunt,Waterfall,PASS,0,0,0,0,0,0
Qwilfish,211,Water,Poison,PU,COMMON,,Life Orb,Swift Swim,252 Atk / 4 SpD / 252 Spe,Jolly,,Swords Dance,Destiny Bond,Liquidation,Poison Jab,PASS,0,0,0,0,0,0
Qwilfish,211,Water,Poison,PU,COMMON,,Focus Sash,Intimidate,252 Atk / 4 Def / 252 Spe,Timid,0 Atk,Spikes,Thunder Wave,Destiny Bond,Scald,PASS,0,0,0,0,0,0
Qwilfish,211,Water,Poison,PU,COMMON,,Focus Sash,Intimidate,252 SpA / 4 SpD / 252 Spe,Jolly,,Toxic Spikes,Destiny Bond,Taunt,Liquidation,PASS,0,0,0,0,0,0
Qwilfish,211,Water,Poison,PU,COMMON,,Leftovers,Intimidate,252 HP / 4 Def / 252 Spe,Timid,0 Atk,Protect,Substitute,Toxic,Destiny Bond,PASS,0,0,0,0,0,0
Qwilfish,211,Water,Poison,PU,COMMON,RAIN,Damp Rock,Swift Swim,252 Atk / 4 Def / 252 Spe,Adamant,,Rain Dance,Destiny Bond,Liquidation,Poison Jab,PASS,0,0,0,0,0,0
Scizor,212,Bug,Steel,OU,ULTRA-RARE,,Scizorite,Technician,168 HP / 168 Def / 172 SpD,Careful,,Swords Dance,Roost,Bullet Punch,Superpower,PASS,0,0,0,0,0,0
Scizor,212,Bug,Steel,OU,ULTRA-RARE,,Scizorite,Swarm,252 Atk / 4 SpD / 252 Spe,Adamant,,Swords Dance,Bullet Punch,Bug Bite,Superpower,PASS,0,0,0,0,0,0
Scizor,212,Bug,Steel,OU,ULTRA-RARE,,Choice Band,Technician,252 Atk / 4 SpD / 252 Spe,Adamant,,Superpower,Pursuit,U-turn,Bullet Punch,PASS,0,0,0,0,0,0
Scizor,212,Bug,Steel,OU,ULTRA-RARE,,Leftovers,Technician,252 HP / 4 Atk / 252 Def,Impish,,Knock Off,U-turn,Bullet Punch,Roost,PASS,0,0,0,0,0,0
Scizor,212,Bug,Steel,OU,ULTRA-RARE,,Scizorite,Technician,252 HP / 4 Def / 252 SpD,Careful,,Bullet Punch,Defog,U-turn,Roost,PASS,0,0,0,0,0,0
Scizor,212,Bug,Steel,OU,ULTRA-RARE,BATON,Leftovers,Technician,168 HP / 172 Atk / 168 Spe,Adamant,,Swords Dance,Agility,Bullet Punch,Baton Pass,PASS,0,0,0,0,0,0
Shuckle,213,Bug,Rock,PU,COMMON,,Leftovers,Sturdy,252 HP / 4 Def / 252 SpD,Calm,0 Atk,Stealth Rock,Toxic,Infestation,Protect,PASS,0,0,0,0,0,0
Shuckle,213,Bug,Rock,PU,COMMON,,Leftovers,Contrary,252 HP / 252 Def / 4 SpD,Sassy,0 Atk / 0 Spe,Shell Smash,Toxic,Infestation,Rest,PASS,0,0,0,0,0,0
Shuckle,213,Bug,Rock,PU,COMMON,,Binding Band,Sturdy,252 HP / 4 Def / 252 SpD,Careful,0 Spe,Power Split,Encore,Gastro Acid,Sand Tomb,PASS,0,0,0,0,0,0
Shuckle,213,Bug,Rock,PU,COMMON,,Leftovers,Sturdy,252 HP / 252 Def / 4 SpD,Impish,,Sticky Web,Knock Off,Encore,Stealth Rock,PASS,0,0,0,0,0,0
Shuckle,213,Bug,Rock,PU,COMMON,SUN,Heat Rock,Sturdy,252 HP / 252 Def / 4 SpD,Impish,,Knock Off,Stealth Rock,Sunny Day,Sticky Web,PASS,0,0,0,0,0,0
Shuckle,213,Bug,Rock,PU,COMMON,,Mental Herb,Sturdy,252 HP / 4 Def / 252 SpD,Careful,,Sticky Web,Knock Off,Encore,Toxic,PASS,0,0,0,0,0,0
Heracross,214,Bug,Fighting,UU,RARE,,Life Orb,Guts,252 Atk / 4 Def / 252 Spe,Jolly,,Stone Edge,Megahorn,Swords Dance,Close Combat,PASS,0,0,0,0,0,0
Heracross,214,Bug,Fighting,OU,ULTRA-RARE,,Heracronite,Moxie,168 HP / 172 Atk / 168 Spe,Adamant,,Pin Missile,Rock Blast,Bullet Seed,Close Combat,PASS,0,0,0,0,0,0
Heracross,214,Bug,Fighting,UU,RARE,,Salac Berry,Moxie,252 Atk / 4 SpD / 252 Spe,Jolly,,Endure,Reversal,Knock Off,Stone Edge,PASS,0,0,0,0,0,0
Heracross,214,Bug,Fighting,UU,RARE,,Leftovers,Guts,168 HP / 172 Atk / 168 Def,Adamant,,Bulk Up,Earthquake,Knock Off,Stone Edge,PASS,0,0,0,0,0,0
Heracross,214,Bug,Fighting,OU,ULTRA-RARE,,Heracronite,Moxie,252 Atk / 4 SpD / 252 Spe,Jolly,,Substitute,Rock Blast,Bullet Seed,Close Combat,PASS,0,0,0,0,0,0
Heracross,214,Bug,Fighting,OU,ULTRA-RARE,,Heracronite,Moxie,252 Atk / 4 SpD / 252 Spe,Jolly,,Arm Thrust,Pin Missile,Rock Blast,Swords Dance,PASS,0,0,0,0,0,0
Sneasel,215,Dark,Ice,NU,COMMON,,Choice Band,Pickpocket,252 Atk / 4 Def / 252 Spe,Jolly,,Knock Off,Icicle Crash,Ice Shard,Pursuit,PASS,0,0,0,0,0,0
Sneasel,215,Dark,Ice,NU,COMMON,,Focus Sash,Pickpocket,252 Atk / 4 SpD / 252 Spe,Hasty,0 Def,Icicle Crash,Ice Shard,Knock Off,Counter,PASS,0,0,0,0,0,0
Sneasel,215,Dark,Ice,NU,COMMON,,Icium Z,Inner Focus,252 Atk / 4 Def / 252 Spe,Jolly,,Icicle Crash,Swords Dance,Ice Shard,Knock Off,PASS,0,0,0,0,0,0
Sneasel,215,Dark,Ice,NU,COMMON,,Eviolite,Pickpocket,168 HP / 172 Atk / 168 SpD,Adamant,,Knock Off,Taunt,Pursuit,Icicle Crash,PASS,0,0,0,0,0,0
Sneasel,215,Dark,Ice,NU,COMMON,,Lum Berry,Pickpocket,252 Atk / 4 SpD / 252 Spe,Jolly,,Substitute,Swords Dance,Knock Off,Icicle Crash,PASS,0,0,0,0,0,0
Sneasel,215,Dark,Ice,NU,COMMON,,Eviolite,Pickpocket,168 HP / 168 Def / 172 Spe,Jolly,,Knock Off,Ice Shard,Foul Play,Toxic,PASS,0,0,0,0,0,0
Teddiursa,216,Normal,,LC,NONE,,Toxic Orb,Quick Feet,36 HP / 196 Atk / 36 Def / 36 SpD / 196 Spe,Jolly,,Facade,Crunch,Close Combat,Protect,PASS,0,0,0,0,0,0
Ursaring,217,Normal,,PU,COMMON,,Toxic Orb,Quick Feet,252 Atk / 4 SpD / 252 Spe,Jolly,,Facade,Close Combat,Crunch,Swords Dance,PASS,0,0,0,0,0,0
Ursaring,217,Normal,,PU,COMMON,,Toxic Orb,Quick Feet,252 Atk / 4 SpD / 252 Spe,Jolly,,Play Rough,Crunch,Close Combat,Facade,PASS,0,0,0,0,0,0
Ursaring,217,Normal,,PU,COMMON,,Leftovers,Quick Feet,252 HP / 4 Def / 252 SpD,Careful,,Bulk Up,Rest,Body Slam,Sleep Talk,PASS,0,0,0,0,0,0
Ursaring,217,Normal,,PU,COMMON,,Choice Band,Quick Feet,252 Atk / 4 SpD / 252 Spe,Adamant,,Close Combat,Crunch,Double-Edge,Play Rough,PASS,0,0,0,0,0,0
Ursaring,217,Normal,,PU,COMMON,,Leftovers,Guts,168 HP / 168 Atk / 172 SpD,Careful,,Close Combat,Protect,Toxic,Facade,PASS,0,0,0,0,0,0
Ursaring,217,Normal,,PU,COMMON,,Normalium Z,Guts,252 Atk / 4 Def / 252 Spe,Jolly,,Double-Edge,Crunch,Close Combat,Swords Dance,PASS,0,0,0,0,0,0
Slugma,218,Fire,,LC,NONE,,Eviolite,Flame Body,36 HP / 196 Def / 116 SpA / 116 SpD / 36 Spe,Bold,0 Atk,Lava Plume,Clear Smog,Memento,Will-O-Wisp,PASS,0,0,0,0,0,0
Magcargo,219,Fire,Rock,Untiered,COMMON,,Leftovers,Flame Body,252 HP / 4 SpA / 252 SpD,Calm,0 Atk,Stealth Rock,Toxic,Lava Plume,Recover,PASS,0,0,0,0,0,0
Magcargo,219,Fire,Rock,Untiered,COMMON,,Light Clay,Flame Body,252 HP / 252 Def / 4 SpD,Bold,0 Atk,Reflect,Light Screen,Lava Plume,Recover,PASS,0,0,0,0,0,0
Magcargo,219,Fire,Rock,Untiered,COMMON,,Darkinium Z,Flame Body,252 HP / 4 Def / 252 SpD,Calm,0 Atk,Memento,Stealth Rock,Recover,Lava Plume,PASS,0,0,0,0,0,0
Magcargo,219,Fire,Rock,Untiered,COMMON,,White Herb,Weak Armor,252 SpA / 4 SpD / 252 Spe,Timid,0 Atk,Shell Smash,Hidden Power [Grass],Earth Power,Fire Blast,PASS,0,0,0,0,0,0
Magcargo,219,Fire,Rock,Untiered,COMMON,,Life Orb,Weak Armor,252 SpA / 4 SpD / 252 Spe,Modest,0 Atk,Stealth Rock,Earth Power,Recover,Fire Blast,PASS,0,0,0,0,0,0
Magcargo,219,Fire,Rock,Untiered,COMMON,,Grassium Z,Weak Armor,252 HP / 252 SpA / 4 SpD,Modest,0 Atk,Solar Beam,Fire Blast,Stealth Rock,Will-O-Wisp,PASS,0,0,0,0,0,0
Swinub,220,Ice,Ground,LC,NONE,,Focus Sash,Oblivious,116 HP / 196 Atk / 196 Spe,Jolly,,Stealth Rock,Ice Shard,Earthquake,Endeavor,PASS,0,0,0,0,0,0
Piloswine,221,Ice,Ground,NU,COMMON,,Eviolite,Thick Fat,252 HP / 252 Atk / 4 Def,Adamant,,Stealth Rock,Earthquake,Ice Shard,Icicle Crash,PASS,0,0,0,0,0,0
Piloswine,221,Ice,Ground,NU,COMMON,,Eviolite,Thick Fat,252 HP / 252 Atk / 4 SpD,Adamant,,Roar,Stealth Rock,Ice Shard,Earthquake,PASS,0,0,0,0,0,0
